Name,Year,Rating,Tags,Watched Date
Now You See Me,2013,3,,27-09-2023
Step Up,2006,3.5,,27-09-2023
The Great Indian Family,2023,3.5,"with dad, with bhai, with mom, @theatre",24-09-2023
Zindagi Na Milegi Dobara,2011,5,with mom,22-09-2023
An Action Hero,2022,4,with mom,21-09-2023
Dear Zindagi,2016,3.5,with mom,21-09-2023
Shutter Island,2010,4.5,,18-09-2023
Avengers: Infinity War,2018,4,with bhai,18-09-2023
Rocky Aur Rani Kii Prem Kahaani,2023,4,"with dad, with mom, with bhai",18-09-2023
Bullet Train,2022,4,"with ishika, with rachel",17-09-2023
Choose Love,2023,1.5,with rachel,17-09-2023
Jawan,2023,3.5,"with bhai, with mom, with dad, @theatre",15-09-2023
Red Notice,2021,2,with mom,14-09-2023
The Little Mermaid,2023,3.5,,11-09-2023
Dungeons & Dragons: Honor Among Thieves,2023,4,,10-09-2023
Vikram Vedha,2022,4,"with dad, with mom",09-09-2023
Jailer,2023,1.5,"with mom, with dad",08-09-2023
Dil Dhadakne Do,2015,4.5,with mom,07-09-2023
Piku,2015,4.5,with mom,07-09-2023
"Red, White & Royal Blue",2023,3.5,with rachel,01-09-2023
Do Revenge,2022,3.5,with rachel,01-09-2023
How to Lose a Guy in 10 Days,2003,3.5,,26-08-2023
The Lost City,2022,3,with mom,25-08-2023
No Hard Feelings,2023,3.5,,22-08-2023
The Conjuring,2013,4,,21-08-2023
Bawaal,2023,,"with mom, with dad, with bhai",20-08-2023
The Devil Wears Prada,2006,3.5,with mom,16-08-2023
Barbarian,2022,4,with hussain,14-08-2023
Oppenheimer,2023,4,"@theatre, with arnav",10-08-2023
Barbie,2023,4,"with mom, @theatre",08-08-2023
In the Heights,2021,3.5,,07-08-2023
Avatar: The Way of Water,2022,4,with mom,04-08-2023
Bullet Train,2022,4,,03-08-2023
Guardians of the Galaxy Vol. 3,2023,4.5,with ishika,03-08-2023
Spin,2021,3.5,,02-08-2023
Rush Hour 2,2001,3,,01-08-2023
Twilight,2008,,with parnika,13-07-2023
See How They Run,2022,2.5,with rachel,10-07-2023
Shutter,2004,4,"with ishika, with haritha, with tanisha",10-07-2023
The Wolf of Wall Street,2013,4,,09-07-2023
Insidious: The Red Door,2023,3,"with khushi, @theatre, with anmol",09-07-2023
Leap Year,2010,3,"with rachel, with khushi",09-07-2023
Us,2019,3.5,with lovers,08-07-2023
